country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1982,39.854,12881816,978.0114388
Albania,Europe,1982,70.42,2780097,3630.880722
Algeria,Africa,1982,61.368,20033753,5745.160213
Angola,Africa,1982,39.942,7016384,2756.953672
Argentina,Americas,1982,69.942,29341374,8997.897412
Australia,Oceania,1982,74.74,15184200,19477.00928
Austria,Europe,1982,73.18,7574613,21597.08362
Bahrain,Asia,1982,69.052,377967,19211.14731
Bangladesh,Asia,1982,50.009,93074406,676.9818656
Belgium,Europe,1982,73.93,9856303,20979.84589
Benin,Africa,1982,50.904,3641603,1277.897616
Bolivia,Americas,1982,53.859,5642224,3156.510452
Bosnia and Herzegovina,Europe,1982,70.69,4172693,4126.613157
Botswana,Africa,1982,61.484,970347,4551.14215
Brazil,Americas,1982,63.336,128962939,7030.835878
Bulgaria,Europe,1982,71.08,8892098,8224.191647
Burkina Faso,Africa,1982,48.122,6634596,807.1985855
Burundi,Africa,1982,47.471,4580410,559.603231
Cambodia,Asia,1982,50.957,7272485,624.4754784
Cameroon,Africa,1982,52.961,9250831,2367.983282
Canada,Americas,1982,75.76,25201900,22898.79214
Central African Republic,Africa,1982,48.295,2476971,956.7529907
Chad,Africa,1982,49.517,4875118,797.9081006
Chile,Americas,1982,70.565,11487112,5095.665738
China,Asia,1982,65.525,1000281000,962.4213805
Colombia,Americas,1982,66.653,27764644,4397.575659
Comoros,Africa,1982,52.933,348643,1267.100083
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,673.7478181
"Congo, Rep.",Africa,1982,56.695,1774735,4879.507522
Costa Rica,Americas,1982,73.45,2424367,5262.734751
Cote d'Ivoire,Africa,1982,53.983,9025951,2602.710169
Croatia,Europe,1982,70.46,4413368,13221.82184
Cuba,Americas,1982,73.717,9789224,7316.918107
Czech Republic,Europe,1982,70.96,10303704,15377.22855
Denmark,Europe,1982,74.63,5117810,21688.04048
Djibouti,Africa,1982,48.812,305991,2879.468067
Dominican Republic,Americas,1982,63.727,5968349,2861.092386
Ecuador,Americas,1982,64.342,8365850,7213.791267
Egypt,Africa,1982,56.006,45681811,3503.729636
El Salvador,Americas,1982,56.604,4474873,4098.344175
Equatorial Guinea,Africa,1982,43.662,285483,927.8253427
Eritrea,Africa,1982,43.89,2637297,524.8758493
Ethiopia,Africa,1982,44.916,38111756,577.8607471
Finland,Europe,1982,74.55,4826933,18533.15761
France,Europe,1982,74.89,54433565,20293.89746
Gabon,Africa,1982,56.564,753874,15113.36194
Gambia,Africa,1982,45.58,715523,835.8096108
Germany,Europe,1982,73.8,78335266,22031.53274
Ghana,Africa,1982,53.744,11400338,876.032569
Greece,Europe,1982,75.24,9786480,15268.42089
Guatemala,Americas,1982,58.137,6395630,4820.49479
Guinea,Africa,1982,42.891,4710497,857.2503577
Guinea-Bissau,Africa,1982,39.327,825987,838.1239671
Haiti,Americas,1982,51.461,5198399,2011.159549
