country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1992,41.674,16317921,649.3413952
Albania,Europe,1992,71.581,3326498,2497.437901
Algeria,Africa,1992,67.744,26298373,5023.216647
Angola,Africa,1992,40.647,8735988,2627.845685
Argentina,Americas,1992,71.868,33958947,9308.41871
Australia,Oceania,1992,77.56,17481977,23424.76683
Austria,Europe,1992,76.04,7914969,27042.01868
Bahrain,Asia,1992,72.601,529491,19035.57917
Bangladesh,Asia,1992,56.018,113704579,837.8101643
Belgium,Europe,1992,76.46,10045622,25575.57069
Benin,Africa,1992,53.919,4981671,1191.207681
Bolivia,Americas,1992,59.957,6893451,2961.699694
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445
Botswana,Africa,1992,62.745,1342614,7954.111645
Brazil,Americas,1992,67.057,155975974,6950.283021
Bulgaria,Europe,1992,71.19,8658506,6302.623438
Burkina Faso,Africa,1992,50.26,8878303,931.7527731
Burundi,Africa,1992,44.736,5809236,631.6998778
Cambodia,Asia,1992,55.803,10150094,682.3031755
Cameroon,Africa,1992,54.314,12467171,1793.163278
Canada,Americas,1992,77.95,28523502,26342.88426
Central African Republic,Africa,1992,49.396,3265124,747.9055252
Chad,Africa,1992,51.724,6429417,1058.0643
Chile,Americas,1992,74.126,13572994,7596.125964
China,Asia,1992,68.69,1164970000,1655.784158
Colombia,Americas,1992,68.421,34202721,5444.648617
Comoros,Africa,1992,57.939,454429,1246.90737
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807
"Congo, Rep.",Africa,1992,56.433,2409073,4016.239529
Costa Rica,Americas,1992,75.713,3173216,6160.416317
Cote d'Ivoire,Africa,1992,52.044,12772596,1648.073791
Croatia,Europe,1992,72.527,4494013,8447.794873
Cuba,Americas,1992,74.414,10723260,5592.843963
Czech Republic,Europe,1992,72.4,10315702,14297.02122
Denmark,Europe,1992,75.33,5171393,26406.73985
Djibouti,Africa,1992,51.604,384156,2377.156192
Dominican Republic,Americas,1992,68.457,7351181,3044.214214
Ecuador,Americas,1992,69.613,10748394,7103.702595
Egypt,Africa,1992,63.674,59402198,3794.755195
El Salvador,Americas,1992,66.798,5274649,4444.2317
Equatorial Guinea,Africa,1992,47.545,387838,1132.055034
Eritrea,Africa,1992,49.991,3668440,582.8585102
Ethiopia,Africa,1992,48.091,52088559,421.3534653
Finland,Europe,1992,75.7,5041039,20647.16499
France,Europe,1992,77.46,57374179,24703.79615
Gabon,Africa,1992,61.366,985739,13522.15752
Gambia,Africa,1992,52.644,1025384,665.6244126
Germany,Europe,1992,76.07,80597764,26505.30317
Ghana,Africa,1992,57.501,16278738,925.060154
Greece,Europe,1992,77.03,10325429,17541.49634
Guatemala,Americas,1992,63.373,8486949,4439.45084
Guinea,Africa,1992,48.576,6990574,794.3484384
Guinea-Bissau,Africa,1992,43.266,1050938,745.5398706
Haiti,Americas,1992,55.089,6326682,1456.309517
Honduras,Americas,1992,66.399,5077347,3081.694603
"Hong Kong, China",Asia,1992,77.601,5829696,24757.60301
Hungary,Europe,1992,69.17,10348684,10535.62855
Iceland,Europe,1992,78.77,259012,25144.39201
India,Asia,1992,60.223,872000000,1164.406809
Indonesia,Asia,1992,62.681,184816000,2383.140898
Iran,Asia,1992,65.742,60397973,7235.653188
Iraq,Asia,1992,59.461,17861905,3745.640687
Ireland,Europe,1992,75.467,3557761,17558.81555
Israel,Asia,1992,76.93,4936550,18051.52254
Italy,Europe,1992,77.44,56840847,22013.64486
Jamaica,Americas,1992,71.766,2378618,7404.923685
Japan,Asia,1992,79.36,124329269,26824.89511
Jordan,Asia,1992,68.015,3867409,3431.593647
Kenya,Africa,1992,59.285,25020539,1341.921721
"Korea, Dem. Rep.",Asia,1992,69.978,20711375,3726.063507
"Korea, Rep.",Asia,1992,72.244,43805450,12104.27872
Kuwait,Asia,1992,75.19,1418095,34932.91959
Lebanon,Asia,1992,69.292,3219994,6890.806854
Lesotho,Africa,1992,59.685,1803195,977.4862725
Liberia,Africa,1992,40.802,1912974,636.6229191
Libya,Africa,1992,68.755,4364501,9640.138501
Madagascar,Africa,1992,52.214,12210395,1040.67619
Malawi,Africa,1992,49.42,10014249,563.2000145
Malaysia,Asia,1992,70.693,18319502,7277.912802
Mali,Africa,1992,48.388,8416215,739.014375
Mauritania,Africa,1992,58.333,2119465,1361.369784
Mauritius,Africa,1992,69.745,1096202,6058.253846
Mexico,Americas,1992,71.455,88111030,9472.384295
Mongolia,Asia,1992,61.271,2312802,1785.402016
Montenegro,Europe,1992,75.435,621621,7003.339037
Morocco,Africa,1992,65.393,25798239,2948.047252
Mozambique,Africa,1992,44.284,13160731,410.8968239
Myanmar,Asia,1992,59.32,40546538,347
Namibia,Africa,1992,61.999,1554253,3804.537999
Nepal,Asia,1992,55.727,20326209,897.7403604
Netherlands,Europe,1992,77.42,15174244,26790.94961
New Zealand,Oceania,1992,76.33,3437674,18363.32494
Nicaragua,Americas,1992,65.843,4017939,2170.151724
Niger,Africa,1992,47.391,8392818,581.182725
Nigeria,Africa,1992,47.472,93364244,1619.848217
Norway,Europe,1992,77.32,4286357,33965.66115
Oman,Asia,1992,71.197,1915208,18616.70691
Pakistan,Asia,1992,60.838,120065004,1971.829464
Panama,Americas,1992,72.462,2484997,6618.74305
Paraguay,Americas,1992,68.225,4483945,4196.411078
Peru,Americas,1992,66.458,22430449,4446.380924
Philippines,Asia,1992,66.458,67185766,2279.324017
Poland,Europe,1992,70.99,38370697,7738.881247
Portugal,Europe,1992,74.86,9927680,16207.26663
Puerto Rico,Americas,1992,73.911,3585176,14641.58711
Reunion,Africa,1992,73.615,622191,6101.255823
Romania,Europe,1992,69.36,22797027,6598.409903
Rwanda,Africa,1992,23.599,7290203,737.0685949
Sao Tome and Principe,Africa,1992,62.742,125911,1428.777814
Saudi Arabia,Asia,1992,68.768,16945857,24841.61777
Senegal,Africa,1992,58.196,8307920,1367.899369
Serbia,Europe,1992,71.659,9826397,9325.068238
Sierra Leone,Africa,1992,38.333,4260884,1068.696278
Singapore,Asia,1992,75.788,3235865,24769.8912
Slovak Republic,Europe,1992,71.38,5302888,9498.467723
Slovenia,Europe,1992,73.64,1999210,14214.71681
Somalia,Africa,1992,39.658,6099799,926.9602964
South Africa,Africa,1992,61.888,39964159,7225.069258
Spain,Europe,1992,77.57,39549438,18603.06452
Sri Lanka,Asia,1992,70.379,17587060,2153.739222
Sudan,Africa,1992,53.556,28227588,1492.197043
Swaziland,Africa,1992,58.474,962344,3553.0224
Sweden,Europe,1992,78.16,8718867,23880.01683
Switzerland,Europe,1992,78.03,6995447,31871.5303
Syria,Asia,1992,69.249,13219062,3340.542768
Taiwan,Asia,1992,74.26,20686918,15215.6579
Tanzania,Africa,1992,50.44,26605473,825.682454
Thailand,Asia,1992,67.298,56667095,4616.896545
Togo,Africa,1992,58.061,3747553,1034.298904
Trinidad and Tobago,Americas,1992,69.862,1183669,7370.990932
Tunisia,Africa,1992,70.001,8523077,4332.720164
Turkey,Europe,1992,66.146,58179144,5678.348271
Uganda,Africa,1992,48.825,18252190,644.1707969
United Kingdom,Europe,1992,76.42,57866349,22705.09254
United States,Americas,1992,76.09,256894189,32003.93224
Uruguay,Americas,1992,72.752,3149262,8137.004775
Venezuela,Americas,1992,71.15,20265563,10733.92631
Vietnam,Asia,1992,67.662,69940728,989.0231487
West Bank and Gaza,Asia,1992,69.718,2104779,6017.654756
